,PROPERTIES PAGE,property_name,area,address,sell_price,rent_price,bedrooms,living_rooms,years,efficiency_ratio
0,1,Forfar,Kln Tong / Beacon Hill ,Flat B| High Floor|  The Forfar| Forfar| Kln Tong / Beacon Hill ,$50.00M,$85.000,4.0,2.0,9.0,75.0
1,1,King's Park Hill,Homantin/Kingspark ,High Floor|  Apt 70 ( Blk 4 )| King's Park Hill| Homantin/Kingspark ,$98.00M,$138.000,5.0,2.0,19.0,68.0
2,1,34G Braga Circuit,Kadoorie Hill , 34G Braga Circuit| Kadoorie Hill ,$38.00M,$56.000,3.0,2.0,63.0,
3,1,Beverly Villas,Kln Tong / Beacon Hill ,Flat C| Low Floor|  Block 04| Beverly Villas| Kln Tong / Beacon Hill ,$23.80M,$56.000,3.0,2.0,38.0,93.0
4,1,One Mayfair,Kln Tong / Beacon Hill , Block 7| One Mayfair| Kln Tong / Beacon Hill ,$42.00M,$56.000,3.0,1.0,7.0,78.0
5,1,Ultima,Homantin/Kingspark ,Flat B| Middle Floor|  Tower 2| Phase 2| Ultima| Homantin/Kingspark ,$90.00M,$56.000,4.0,2.0,3.0,
6,1,Dunbar Place,Homantin/Kingspark ,Flat B| High Floor|  Dunbar Place| Homantin/Kingspark ,$36.00M,$56.000,3.0,2.0,5.0,
7,1,Park View Court,Western Mid-Levels ,High Floor|  Block B| Park View Court| Western Mid-Levels ,$42.00M,$95.000,4.0,2.0,45.0,75.0
8,1,Ellery Terrace,Homantin/Kingspark ,Flat A| High Floor|  Ellery Terr| Ellery Terrace| Homantin/Kingspark ,$25.00M,$50.000,3.0,2.0,19.0,78.0
9,1,Marple Court,Kln Tong / Beacon Hill ,Flat F|  Marple Court| Kln Tong / Beacon Hill ,$16.80M,$38.000,2.0,2.0,47.0,80.0
10,1,Padek Palace,Prince Edward Rd ,Flat C| Middle Floor|  Padek Palace| Prince Edward Rd ,$40.00M,$50.000,4.0,2.0,15.0,
11,1,Padek Palace,Prince Edward Rd ,Flat D| High Floor|  Padek Palace| Prince Edward Rd ,$40.00M,$50.000,6.0,2.0,15.0,
12,1,Nga Yuen Building,Kln Tong / Beacon Hill ,Low Floor|  Nga Yuen Building| Kln Tong / Beacon Hill ,$18.50M,$37.000,3.0,2.0,55.0,80.0
13,1,Hampton Place,Olympic Station ,Flat A| High Floor|  Block 1| Hampton Place| Olympic Station ,$11.00M,$23.000,2.0,2.0,15.0,75.0
